source_id     



50052,Female,80,"Profesinis, įgytas po vidurinio išsilavinimo baigimo",A big city,LT022,Yes,5,Left,Very interested,Yes
50062,Male,25,"Profesinis, įgytas po pagrindinio išsilavinimo baigimo (kai profesinio mokymo programa truko mažiau nei dvejus metus)",A big city,LT011,Yes,3,8,Not at all interested,No
50074,Female,63,"Profesinis, įgytas po vidurinio išsilavinimo baigimo",Country village,LT026,No,Not at all religious,5,Quite interested,Yes
50082,Male,65,"Profesinis, įgytas kartu baigiant ir pagrindinį išsilavinimą",Town or small city,LT029,Yes,9,7,Quite interested,No
50092,Male,46,"Aukštasis universitetinis, įgytas baigus magistro arba rezidentūros studijas",A big city,LT011,No,Not at all religious,8,Quite interested,Yes
50102,Male,75,"Aukštesnysis arba specialusis vidurinis, įgytas po pagrindinio išsilavinimo baigimo (apima ir technikumus, jei įstota įgijus pagrindinį išsilavinimą)",Country village,LT021,Yes,7,7,Quite interested,Yes
50161,Female,74,"Pagrindinis, įgytas pagrandinéje, vidurinéje, jaunimo, vakarinéje mokykloje, licéjuje ar (pro)gimnazijoje",Country village,LT011,Yes,7,5,Hardly interested,No
50274,Female,28,"Aukštasis universitetinis, įgytas baigus bakalauro studijas",A big city,LT022,Yes,6,1,Quite interested,No
50356,Female,67,"Aukštesnysis arba specialusis vidurinis, įgytas po vidurinio išsilavinimo baigimo (apima ir technikumus, jei įstota įgijus vidurinį išsilavinimą)",A big city,LT022,Yes,Very religious,7,Very interested,Yes
50374,Female,56,"Aukštesnysis arba specialusis vidurinis, įgytas po vidurinio išsilavinimo baigimo (apima ir technikumus, jei įstota įgijus vidurinį išsilavinimą)",A big city,LT022,Yes,5,5,Not at all interested,Yes
50532,Male,51,"Aukštasis universitetinis, įgytas baigus magistro arba rezidentūros studijas",A big city,LT011,No,1,6,Quite interested,Yes
50552,Female,48,"Aukštasis universitetinis, įgytas baigus bakalauro studijas",A big city,LT025,Yes,6,5,Quite interested,Yes
50562,Female,22,"Vidurinis, įgytas vidurinéje, vakarinéje, mokykloje, licéjuje ar gimnazijoje",A big city,LT022,No,Not at all religious,Right,Hardly interested,No
50579,Female,31,"Pagrindinis, įgytas pagrandinéje, vidurinéje, jaunimo, vakarinéje mokykloje, licéjuje ar (pro)gimnazijoje",Town or small city,LT023,Yes,8,1,Not at all interested,Yes
50690,Male,79,"Aukštesnysis arba specialusis vidurinis, įgytas po pagrindinio išsilavinimo baigimo (apima ir technikumus, jei įstota įgijus pagrindinį išsilavinimą)",A big city,LT025,Yes,8,5,Very interested,Yes
50698,Male,62,"Aukštesnysis arba specialusis vidurinis, įgytas po vidurinio išsilavinimo baigimo (apima ir technikumus, jei įstota įgijus vidurinį išsilavinimą)",A big city,LT023,Yes,2,6,Quite interested,Yes
50723,Female,18,"Pagrindinis, įgytas pagrandinéje, vidurinéje, jaunimo, vakarinéje mokykloje, licéjuje ar (pro)gimnazijoje",Town or small city,LT024,Yes,7,8,Hardly interested,No
50734,Female,63,"Profesinis, įgytas po vidurinio išsilavinimo baigimo",A big city,LT011,Yes,Very religious,Right,Hardly interested,Yes
50775,Female,38,"Vidurinis, įgytas vidurinéje, vakarinéje, mokykloje, licéjuje ar gimnazijoje",A big city,LT011,No,5,5,Hardly interested,No
50953,Male,63,"Profesinis, įgytas kartu baigiant ir pagrindinį išsilavinimą",Country village,LT022,Yes,1,4,Hardly interested,No
50999,Female,70,"Vidurinis, įgytas vidurinéje, vakarinéje, mokykloje, licéjuje ar gimnazijoje",Town or small city,LT028,Yes,3,4,Quite interested,Yes
51031,Female,36,"Aukštasis universitetinis, įgytas baigus bakalauro studijas",A big city,LT011,Yes,2,5,Quite interested,No
51038,Male,28,Aukštasis neuniversitetinis arba koleginis,A big city,LT025,Yes,6,3,Hardly interested,Not eligible to vote
51094,Male,59,"Vidurinis, įgytas vidurinéje, vakarinéje, mokykloje, licéjuje ar gimnazijoje",Country village,LT024,No,Not at all religious,Left,Not at all interested,Yes
51121,Female,16,"Pagrindinis, įgytas pagrandinéje, vidurinéje, jaunimo, vakarinéje mokykloje, licéjuje ar (pro)gimnazijoje",A big city,LT022,No,Not at all religious,5,Not at all interested,No
51127,Male,73,"Pagrindinis, įgytas pagrandinéje, vidurinéje, jaunimo, vakarinéje mokykloje, licéjuje ar (pro)gimnazijoje",Country village,LT022,Yes,8,8,Hardly interested,No
51130,Female,39,"Profesinis, įgytas po vidurinio išsilavinimo baigimo",Town or small city,LT011,Yes,Very religious,5,Hardly interested,Yes
51137,Male,29,"Aukštasis universitetinis, įgytas baigus bakalauro studijas",A big city,LT011,Yes,4,2,Hardly interested,Yes
51183,Female,66,"Aukštesnysis arba specialusis vidurinis, įgytas po pagrindinio išsilavinimo baigimo (apima ir technikumus, jei įstota įgijus pagrindinį išsilavinimą)",A big city,LT023,Yes,2,2,Hardly interested,No
51196,Male,34,"Aukštasis universitetinis, įgytas baigus bakalauro studijas",A big city,LT011,Yes,7,5,Quite interested,Yes
51271,Male,28,Aukštasis neuniversitetinis arba koleginis,A big city,LT011,No,Not at all religious,5,Hardly interested,Yes
51273,Female,57,"Profesinis, įgytas po pagrindinio išsilavinimo baigimo, kartu įgyjant ir vidurinį išsilavinimą",A big city,LT023,Yes,5,5,Hardly interested,Yes
51277,Male,72,Aukštasis neuniversitetinis arba koleginis,Suburbs or outskirts of big city,LT022,Yes,8,5,Quite interested,Yes
51279,Female,60,Aukštasis neuniversitetinis arba koleginis,Country village,LT021,Yes,7,2,Hardly interested,Yes
51299,Female,72,"Profesinis, įgytas po pagrindinio išsilavinimo baigimo, kartu įgyjant ir vidurinį išsilavinimą",Country village,LT021,Yes,8,4,Hardly interested,Yes
51316,Male,25,"Aukštasis universitetinis, įgytas baigus bakalauro studijas",Suburbs or outskirts of big city,LT011,Yes,7,5,Hardly interested,Yes
51377,Male,30,"Vidurinis, įgytas vidurinéje, vakarinéje, mokykloje, licéjuje ar gimnazijoje",A big city,LT011,Yes,4,6,Hardly interested,No
51423,Female,35,"Aukštasis universitetinis, įgytas baigus bakalauro studijas",Country village,LT027,Yes,5,8,Quite interested,Yes
